Team,Year,FGM,FGA,REB,PPG,ATT,,RADIUS
ATL,1946,0,0,0,0,0,,
ATL,1947,0,0,0,0,0,,
ATL,1948,0,0,0,0,0,,
ATL,1949,1818,5515,0,83,1,,
ATL,1950,1988,5041,3715,84.3,2895,,12
ATL,1951,1674,5055,3540,73.2,1,,
ATL,1952,1873,5320,3429,75.9,6212,6,24
ATL,1953,1757,5087,3202,70,2509,2.5,10
ATL,1954,2187,6041,3854,87.4,3588,3.5,14
ATL,1955,2506,6628,4493,96.6,6000,6,24
ATL,1956,2557,6669,4566,98.5,7010,7,28
ATL,1957,2779,7162,5445,107.5,7242,7,28
ATL,1958,2879,7015,5045,108.8,8548,8.5,34
ATL,1959,3179,7580,5343,113.4,8409,8.5,34
ATL,1960,3618,8795,5994,118.8,8561,8.5,34
ATL,1961,3641,8461,5557,118.9,7336,7.5,30
ATL,1962,3355,7780,5096,109.6,7699,7.5,30
,,,,,,,,
,,,,,,,,
BOS,1946,1397,5133,0,60.1,3608,3.5,14
BOS,1947,1241,4323,0,68.8,3761,4,16
BOS,1948,1706,5483,0,76.6,4975,5,20
BOS,1949,1945,5756,0,79.7,4252,4.5,18
BOS,1950,2065,5607,3499,85.2,6184,6,24
BOS,1951,2131,5510,3750,91.3,5523,5.5,22
BOS,1952,2177,5555,3865,88.1,6742,6.5,26
BOS,1953,2232,5580,3867,87.7,7472,7.5,30
BOS,1954,2604,6533,4203,101.5,7027,7,28
BOS,1955,2745,6913,4583,106,8064,8,32
BOS,1956,2808,7326,4963,105.5,10517,10.5,42
BOS,1957,3006,7759,5402,109.9,8308,8.5,34
BOS,1958,3208,8116,5601,116.4,8165,8,32
BOS,1959,3744,8971,6014,124.5,7755,8,32
BOS,1960,3697,9295,6131,119.7,7199,7,28
BOS,1961,3855,9109,6080,121.1,6852,7,28
BOS,1962,3746,8779,5818,118.8,8753,9,36
,,,,,,,,
DET,1946,0,0,0,,,,
DET,1947,0,0,0,,,,
DET,1948,1536,5370,0,74.3,,,
DET,1949,1878,5901,0,79.3,,,
DET,1950,2002,5927,3725,84.1,3148,3, 
DET,1951,1771,5013,3619,78,,,
DET,1952,1876,5230,3548,81,,,
DET,1953,1952,5187,3785,77.7,4218,4,16
DET,1954,2333,5980,3826,92.4,3717,3.5,14
DET,1955,2396,6174,3974,94.4,4745,4.5,18
DET,1956,2532,6612,4289,96.4,3859,4,16
DET,1957,2746,7295,5168,105.3,4789,5,20
DET,1958,2811,7305,4860,105.1,3978,4,16
DET,1959,3146,7920,5491,111.6,5742,5.5,22
DET,1960,3481,8357,5813,118.6,5298,5.5,22
DET,1961,3472,8366,5823,115.4,4769,5,20
DET,1962,3534,8188,5315,113.9,3806,4,16
,,,,,,,,
GOL,1946,1510,5384,0,68.6,4305,4.5,18
GOL,1947,1279,4875,0,73.4,4546,4.5,18
GOL,1948,1831,5695,0,83.7,3721,3.5,14
GOL,1949,1779,5711,0,73.3,2109,2,8
GOL,1950,1985,5665,3586,85.4,3285,3.5,18
GOL,1951,2039,5367,3647,86.5,3115,3,12
GOL,1952,1987,5546,3763,80.2,3346,3.5,18
GOL,1953,2023,5431,3589,78.2,5952,6,24
GOL,1954,2392,6234,4238,93.2,5878,6,24
GOL,1955,2641,6437,4362,103.1,3890,4,16
GOL,1956,2584,6533,4305,100.4,5097,5,20
GOL,1957,2765,7276,4836,104.3,5067,5,20
GOL,1958,2826,7423,4910,103.3,5906,6,24
GOL,1959,3549,8678,5916,118.6,8086,8,32
GOL,1960,3768,8883,5938,121,6766,7,28
GOL,1961,3917,8929,5939,125.4,5579,5.5,22
GOL,1962,3805,8449,5359,118.5,3067,3,12
,,,,,,,,
LAL,1946,0,0,0,,,,
LAL,1947,0,0,0,,,,
LAL,1948,1885,5146,0,84,,,
LAL,1949,2139,5832,0,84.1,,,
LAL,1950,2084,5590,3409,82.8,5388,5.5,22
LAL,1951,2106,5733,3543,85.6,,,
LAL,1952,2166,5559,3406,84.9,,,
LAL,1953,2184,5803,3752,81.7,,,
LAL,1954,2506,6465,3865,95.6,,,
LAL,1955,2541,6543,4133,99.3,4494,4.5,18
LAL,1956,2584,6965,4581,102.3,2652,2.5,10
LAL,1957,2660,7192,5189,105.1,3596,3.5,18
LAL,1958,2779,7084,5149,106,7464,7.5,30
LAL,1959,3040,7884,5432,107.3,4110,4,16
LAL,1960,3401,8430,5816,114,5045,5,20
LAL,1961,3552,8315,5600,118.5,6139,6,24
LAL,1962,3506,7948,5282,115.5,8396,8.5,34
,,,,,,,,
NYN,1946,1465,5255,0,64.7,4311,4.5,18
NYN,1947,1355,4724,0,74.5,6881,7,28
NYN,1948,1688,5237,0,79.2,7286,7.5,30
NYN,1949,1889,5351,0,80.7,6437,6.5,26
NYN,1950,2037,5380,3421,75.8,5420,5.5,22
NYN,1951,2022,5282,3834,85,5630,5.5,22
NYN,1952,2059,5339,4007,85.5,7810,8,32
NYN,1953,1934,5177,3830,79,8503,8.5,34
NYN,1954,2392,6149,4379,92.7,8565,8.5,34
NYN,1955,2508,6395,4562,100.2,9772,10,40
NYN,1956,2569,6645,4723,100.8,10321,10.5,42
NYN,1957,2884,7307,5385,112.1,9252,9.5,38
NYN,1958,2863,7170,4091,110.3,10889,11,44
NYN,1959,3429,8153,5251,117.3,10825,11,44
NYN,1960,3422,8347,5315,113.7,10215,10,40
NYN,1961,3638,8696,5440,114.8,8035,8,32
NYN,1962,3433,8007,4952,110.5,8905,9,36
,,,,,,,,
PHI,1946,0,0,0,,,,
PHI,1947,0,0,0,,,,
PHI,1948,0,0,0,,,,
PHI,1949,1869,5276,0,84.8,,,
PHI,1950,1884,5365,3259,86.1,,,
PHI,1951,1894,5207,3603,86.7,5276,5.5,22
PHI,1952,1942,5329,3472,85.6,,,
PHI,1953,2054,5579,3652,83.5,,,
PHI,1954,2360,6343,3933,91.1,,,
PHI,1955,2466,6661,4060,96.9,4539,4.5,18
PHI,1956,2550,6915,4350,99.7,3835,4,16
PHI,1957,2823,7336,4895,107.2,3625,3.5,18
PHI,1958,3050,7490,4900,113.1,3466,3.5,18
PHI,1959,3406,8232,5406,118.9,3667,4,16
PHI,1960,3654,8746,5726,121.3,4014,4,16
PHI,1961,3706,8875,5764,120.7,4017,4,16
PHI,1962,3690,8290,5516,121.6,5771,6,24
,,,,,,,,
SAC,1946,,,,,,,
SAC,1947,,,,,,,
SAC,1948,,,,84,7328,7.5,30
SAC,1949,,,,82.4,2408,2.5,10
SAC,1950,,,,84.6,,,
SAC,1951,,,,86.2,,,
SAC,1952,,,,86.3,,,
SAC,1953,,,,79.8,,,
SAC,1954,,,,90.8,2478,2.5,10
SAC,1955,,,,95.8,3533,3.5,18
SAC,1956,,,,93.4,4375,4.5,18
SAC,1957,,,,101.7,3641,3.5,18
SAC,1958,,,,103.1,2445,2.5,10
SAC,1959,,,,111.1,1878,2,8
SAC,1960,,,,117.9,6258,6.5,26
SAC,1961,,,,123.1,4724,4.5,18
SAC,1962,,,,119.1,4173,4,16